CooperatorCode,SurveyID,SurveyStatusID,RegionID,HexagonName,State,BirdPtID,PointID,NP,NWR,NWR_Comp,SMI_Unit,Rest_Unit,ContSite,Date,Time,SHARPTide,LowMarshCC,HighMarshCC,SaltMarshTBorderCC,BrackishTBorderCC,InvasivesCC,PannesChannelsCC,UplandCC,Wrack,OpenWater,DeadSnags,DomSp1,Sp1Percent,DomSp2,Sp2Percent,DomSp3,Sp3Percent,DomSp4,Sp4Percent,DomSp5,Sp5Percent,DomSp6,Sp6Percent,DomSp7,Sp7Percent,DomSp8,Sp8Percent,DomSp9,Sp9Percent,DomSp10,Sp10Percent,ObserverInitials,Comments,IsSMI,IsSMI_pilot,IsUSFWS_h,IsSHARP,IsOther_h,IsRest,IsControl,IsKIRA,IsNPS,IsDemo,IsExclosure,IsNBI,IsCNC,IsRapidDemo,IsDNRECSurvey
SHARP,1172,0,1,198454,ME,198454_p8,42,NA,NA,NA,NA,NA,NA,7/10/2011,8:45:00,High/Falling,1,0,0,0,0,0,4,0,5,0,Spartina alterniflora-short,5,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1173,0,1,193745,ME,193745_p6,43,NA,NA,NA,NA,NA,NA,7/20/2011,8:10:00,Low,5,0,0,0,0,1,0,0,4,0,Spartina alterniflora-tall,65,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1174,0,1,193745,ME,193745_p4,44,NA,NA,NA,NA,NA,NA,7/20/2011,7:40:00,Low/Falling,5,0,0,0,0,0,4,0,0.5,0,Spartina alterniflora-tall,70,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,MDC,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1175,0,1,34174,ME,34174_p3,92,NA,NA,NA,NA,NA,NA,7/10/2011,8:53:00,High/Falling,0,0,0,1,4,0,4,0,4,0,Phragmites australis,40,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1176,0,1,33781,ME,33781_p13,46,NA,NA,NA,NA,NA,NA,7/11/2011,6:44:00,Low/Rising,0,0,0,1,4,0,5,0,0,2,Phragmites australis,45,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1177,0,1,34174,ME,34174_p7,93,NA,NA,NA,NA,NA,NA,7/10/2011,8:22:00,High/Falling,0,0,0,1,5,0,4,0,3,2,Phragmites australis,55,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1178,0,1,198454,ME,198454_p4,48,NA,NA,NA,NA,NA,NA,7/10/2011,8:23:00,High/Falling,0,0,0,3,0,3,4,0.5,4,2,Bolboschoenus robustus,15,Typha latifolia,10,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1179,0,1,202378,ME,202378_p6,49,NA,NA,NA,NA,NA,NA,7/11/2011,10:07:00,High/Falling,0,0,0,3,0,0,6,0,0,2,Bolboschoenus robustus,20,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1180,0,1,33781,ME,33781_p4,50,NA,NA,NA,NA,NA,NA,7/11/2011,6:17:00,Low/Rising,0,0,0,3,5,0,4,0,0,0,Bolboschoenus robustus,20,Phragmites australis,60,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,LNF,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
SHARP,1181,0,1,194531,ME,194531_p4,51,NA,NA,NA,NA,NA,NA,7/20/2011,7:37:00,Low/Falling,0,0,0,4,0,2,4,0,0,0,Panicum virgatum,20,Calystegia sepium,20,Typha latifolia,10,NA,,NA,,NA,,NA,,NA,,NA,,NA,,CAW,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
